UID,POKEDEX,NAME,LEVEL,TYPE1,TYPE2,ATK1,ATK2,ATK3,NEXT_LEVEL,EVOLUTION,MEGA,GENERATION,TRAINNER,PREEVOLUCION
M00012,M018,"Mega Pidgeot",5,FLYING,NORMAL,StWing2,Hurricane4,000,0,018,Yes,1,Mega,""
281961909377875,019,Rattata,1,NORMAL,NONE,QAttack2,TaWhip0,000,2,020,No,1,"Wild ",""
281961909377619,020,Raticate,3,NORMAL,NONE,SuFang2,Bite2,000,0,000,No,1,"Wild ",""
281962071611219,020,Raticate,3,NORMAL,NONE,SuFang2,Bite2,000,0,000,No,1,Evolution,""
281961909377363,021,Spearow,1,NORMAL,FLYING,Leer0,Peck2,000,3,022,No,1,"Wild ",""
281961909380179,022,Fearow,4,NORMAL,FLYING,DPeck3,DrillRun2,000,0,000,No,1,"Wild ",""
281962071607379,022,Fearow,4,NORMAL,FLYING,DPeck3,DrillRun2,000,0,000,No,1,Evolution,""
281961909381971,023,Ekans,1,POISON,NONE,PoSting1,Bite2,000,2,024,No,1,"Wild ",""
281961931690835,024,Arbok,3,POISON,NONE,AcidSpray2,Crunch2,000,0,000,No,1,"Wild ",""
281962071613523,024,Arbok,3,POISON,NONE,AcidSpray2,Crunch2,000,0,000,No,1,Evolution,""
0000031,172,Pichu,0,ELECTRIC,NONE,ThWave0,PlayNice0,000,1,025,No,2,"Wild ",""
281961909395795,025,Pikachu,1,ELECTRIC,NONE,ThShock2,QAttack1,000,2,026,No,1,"Wild ",""
0000032,025,Pikachu,1,ELECTRIC,NONE,ThShock2,QAttack1,000,2,026,No,1,Evolution,""
281962071648083,026,Raichu,3,ELECTRIC,NONE,ThBolt3,Slam2,000,0,000,No,1,"Wild ",""
0000033,026,Raichu,3,ELECTRIC,NONE,ThBolt3,Slam2,000,0,000,No,1,Evolution,""
281962071630163,026,Raichu,3,ELECTRIC,NONE,ThBolt3,Slam2,000,0,000,No,1,Evolution,""
281961909382227,027,Sandshrew,1,GROUND,NONE,PoSting1,SaAttack0,000,2,028,No,1,"Wild ",""
281961909388115,028,Sandslash,3,GROUND,NONE,SaTomb2,Slash2,000,0,000,No,1,"Wild ",""
281962091867731,028,Sandslash,3,GROUND,NONE,SaTomb2,Slash2,000,0,000,No,1,Evolution,""
281961909379411,029,Nidoran,1,POISON,NONE,PoSting1,Scratch1,000,2,030,No,1,"Wild ",""
281961909384275,030,Nidorina,3,POISON,NONE,FSwipes1,Bite2,000,2,031,No,1,"Wild ",""
281962071639891,030,Nidorina,3,POISON,NONE,FSwipes1,Bite2,000,2,031,No,1,Evolution,""
281962071648595,031,Nidoqueen,5,POISON,GROUND,EarthPower3,Superpower3,000,0,000,No,1,"Wild ",""
281962071641939,031,Nidoqueen,5,POISON,GROUND,EarthPower3,Superpower3,000,0,000,No,1,Evolution,""
281962071652691,031,Nidoqueen,5,POISON,GROUND,EarthPower3,Superpower3,000,0,000,No,1,Evolution,""
281961909381715,032,Nidoran,1,POISON,NONE,PoSting1,Peck1,000,2,033,No,1,"Wild ",""
281961909384019,033,Nidorino,3,POISON,NONE,DKick2,HAttack2,000,2,034,No,1,"Wild ",""
281962071638355,033,Nidorino,3,POISON,NONE,DKick2,HAttack2,000,2,034,No,1,Evolution,""
281962071648339,034,Nidoking,5,POISON,GROUND,EarthPower3,MHorn3,000,0,000,No,1,"Wild ",""
281962071646035,034,Nidoking,5,POISON,GROUND,EarthPower3,MHorn3,000,0,000,No,1,Evolution,""
281962071643987,034,Nidoking,5,POISON,GROUND,EarthPower3,MHorn3,000,0,000,No,1,Evolution,""
0000042,173,Cleffa,0,FAIRY,NONE,SwKiss0,Sing0,000,2,035,No,2,"Wild ",""
281961909381459,035,Clefairy,1,FAIRY,NONE,DVoice2,Growl0,000,3,036,No,1,"Wild ",""
0000043,035,Clefairy,1,FAIRY,NONE,DVoice2,Growl0,000,3,036,No,1,Evolution,""
281962071645779,036,Clefable,4,FAIRY,NONE,Moonblast3,Metronome0,000,0,000,No,1,"Wild ",""
281962071642195,036,Clefable,4,FAIRY,NONE,Moonblast3,Metronome0,000,0,000,No,1,Evolution,""
0000044,036,Clefable,4,FAIRY,NONE,Moonblast3,Metronome0,000,0,000,No,1,Evolution,""
281961909379667,037,Vulpix,2,FIRE,NONE,CRay0,Ember2,000,3,038,No,1,"Wild ",""
281961909379923,038,Ninetales,5,FIRE,NONE,Flamethrower3,Extrasensory2,000,0,000,No,1,"Wild ",""
281962071636307,038,Ninetales,5,FIRE,NONE,Flamethrower3,Extrasensory2,000,0,000,No,1,Evolution,""
"",174,Igglybuff,0,NORMAL,FAIRY,SwKiss0,DCurl0,000,1,039,No,1,"Wild ",""
281961909398611,039,Jigglypuff,1,NORMAL,FAIRY,Pound2,Sing0,000,3,040,No,1,"Wild ",""
"",039,Jigglypuff,1,NORMAL,FAIRY,Pound2,Sing0,000,3,040,No,1,Evolution,""
281962071654483,040,Wigglytuff,4,NORMAL,FAIRY,PlRough3,BSlam3,000,0,000,No,1,"Wild ",""
281962071644243,040,Wigglytuff,4,NORMAL,FAIRY,PlRough3,BSlam3,000,0,000,No,1,Evolution,""
0000049,040,Wigglytuff,4,NORMAL,FAIRY,PlRough3,BSlam3,000,0,000,No,1,Evolution,""
281961909398099,041,Zubat,1,POISON,FLYING,Supersonic0,Astonish1,000,2,042,No,1,"Wild ",""
281961909398355,042,Golbat,3,POISON,FLYING,CRay0,ASlash3,000,2,169,No,1,"Wild ",""
281962091867987,042,Golbat,3,POISON,FLYING,CRay0,ASlash3,000,2,169,No,1,Evolution,""
0000052,169,Crobat,5,POISON,FLYING,CrossPoison3,ASlash3E,000,0,000,No,2,"Wild ",""
0000052,169,Crobat,5,POISON,FLYING,CrossPoison3,ASlash3E,000,0,000,No,2,Evolution,""
0000052,169,Crobat,5,POISON,FLYING,CrossPoison3,ASlash3E,000,0,000,No,2,Evolution,""
281961909383507,043,Oddish,2,GRASS,POISON,PoPowder0,Absorb2,000,2,044,No,1,"Wild ",""
281961909397843,044,Gloom,4,GRASS,POISON,SlPowder0,MegaDrain3,000,1,045/182,No,1,"Wild ",""
281962071617363,044,Gloom,4,GRASS,POISON,SlPowder0,MegaDrain3,000,1,045/182,No,1,Evolution,""
281962071654739,045,Vileplume,5,GRASS,POISON,PeBlizzard3,Acid2,000,0,000,No,1,"Wild ",""
281962071656019,045,Vileplume,5,GRASS,POISON,PeBlizzard3,Acid2,000,0,000,No,1,Evolution,""
281962071656275,045,Vileplume,5,GRASS,POISON,PeBlizzard3,Acid2,000,0,000,No,1,Evolution,""
0000056,182,Bellossom,5,GRASS,GRASS,Moonblast2,PeDance4,000,0,000,No,2,"Wild ",""
0000056,182,Bellossom,5,GRASS,GRASS,Moonblast2,PeDance4,000,0,000,No,2,Evolution,""
281961909400659,046,Paras,1,BUG,GRASS,StSpore0,Scratch1,000,1,047,No,1,"Wild ",""
281961909400403,047,Parasect,3,BUG,GRASS,Spore0,X-Scissor3,000,0,000,No,1,"Wild ",""
281962071619411,047,Parasect,3,BUG,GRASS,Spore0,X-Scissor3,000,0,000,No,1,Evolution,""
281961909392211,048,Venonat,2,BUG,POISON,PoPowder0,Psybeam2,000,2,049,No,1,"Wild ",""
281961909391955,049,Venomoth,4,BUG,POISON,Psychic2,LLife3,000,0,000,No,1,"Wild ",""
281962071613779,049,Venomoth,4,BUG,POISON,Psychic2,LLife3,000,0,000,No,1,Evolution,""
281961909391699,050,Diglett,1,GROUND,NONE,SaAttack0,Scratch1,000,2,051,No,1,"Wild ",""
281961909394515,051,Dugtrio,3,GROUND,NONE,SuckerPunch2,Dig3,000,0,000,No,1,"Wild ",""
281962071619923,051,Dugtrio,3,GROUND,NONE,SuckerPunch2,Dig3,000,0,000,No,1,Evolution,""
281961909393747,052,Meowth,2,NORMAL,NONE,FSwipes1,PDay2,000,2,053,No,1,"Wild ",""
281961909396563,053,Persian,4,NORMAL,NONE,Slash3,Bite2,000,0,000,No,1,"Wild ",""
281962071615315,053,Persian,4,NORMAL,NONE,Slash3,Bite2,000,0,000,No,1,Evolution,""
281961909390163,054,Psyduck,2,WATER,NONE,Confusion1,WaGun2,000,2,054,No,1,"Wild ",""
281961909389907,055,Golduck,4,WATER,NONE,ZeHeadbutt2,ATail3,000,0,000,No,1,"Wild ",""
281962071613011,055,Golduck,4,WATER,NONE,ZeHeadbutt2,ATail3,000,0,000,No,1,Evolution,""
281961909389651,056,Mankey,1,FIGHTING,NONE,LKick2,Scratch1,000,2,057,No,1,"Wild ",""
281961931691091,057,Primeape,3,FIGHTING,NONE,SToss0,RageFist1,000,0,000,No,1,"Wild ",""
281962071613267,057,Primeape,3,FIGHTING,NONE,SToss0,RageFist1,000,0,000,No,1,Evolution,""
281961909396307,058,Growlithe,2,FIRE,NONE,Ember2,Bite2,000,3,059,No,1,"Wild ",""
281961909396051,059,Arcanine,5,FIRE,NONE,FBlitz4,ExtremeSpeed2,000,0,000,No,1,"Wild ",""
281962071624019,059,Arcanine,5,FIRE,NONE,FBlitz4,ExtremeSpeed2,000,0,000,No,1,Evolution,""
281961909390419,060,Poliwag,1,WATER,NONE,Hypnosis0,WaGun2,000,2,061,No,1,"Wild ",""
281961909387603,061,Poliwhirl,3,WATER,NONE,BSlam2,BBeam3,000,2,062/186,No,1,"Wild ",""
281962071617875,061,Poliwhirl,3,WATER,NONE,BSlam2,BBeam3,000,2,062/186,No,1,Evolution,""
281962071651923,062,Poliwrath,5,WATER,FIGHTING,DEgde3,Submission3,000,0,000,No,1,"Wild ",""
281962071654227,062,Poliwrath,5,WATER,FIGHTING,DEgde3,Submission3,000,0,000,No,1,Evolution,""
281962071664723,062,Poliwrath,5,WATER,FIGHTING,DEgde3,Submission3,000,0,000,No,1,Evolution,""
0000074,186,Politoed,5,WATER,NONE,DEgde3,BBeam3,000,0,000,No,2,"Wild ",""
0000074,186,Politoed,5,WATER,NONE,DEgde3,BBeam3,000,0,000,No,2,Evolution,""
281961909394003,063,Abra,1,PSYCHIC,NONE,Teleport0,000,000,2,064,No,1,"Wild ",""
281961909387859,064,Kadabra,3,PSYCHIC,NONE,Psybeam3,Disable0,000,2,065,No,1,"Wild ",""
281962071608915,064,Kadabra,3,PSYCHIC,NONE,Psybeam3,Disable0,000,2,065,No,1,Evolution,""
281962071652179,065,Alakazam,5,PSYCHIC,NONE,FSight4,Recover0,000,0,M065,Yes,1,"Wild ",""
281962071627859,065,Alakazam,5,PSYCHIC,NONE,FSight4,Recover0,000,0,M065,Yes,1,Evolution,""
281962071627603,065,Alakazam,5,PSYCHIC,NONE,FSight4,Recover0,000,0,M065,Yes,1,Evolution,""
M00013,M065,"Mega Alakazam",5,PSYCHIC,NONE,DGleam2,FSight4,000,0,065,Yes,1,Mega,""
M00014,M065,"Mega Alakazam",5,PSYCHIC,NONE,DGleam2,FSight4,000,0,065,Yes,1,Mega,""
281961909392467,066,Machop,1,FIGHTING,NONE,LKick2,Leer0,000,2,067,No,1,"Wild ",""
281961909388371,067,Machoke,3,FIGHTING,NONE,VitalThrow3,KnockOff2,000,2,068,No,1,"Wild ",""
281962071615059,067,Machoke,3,FIGHTING,NONE,VitalThrow3,KnockOff2,000,2,068,No,1,Evolution,""
281962071652435,068,Machamp,5,FIGHTING,NONE,DEgde3,CrossChop3,000,0,000,No,1,"Wild ",""
281962071629395,068,Machamp,5,FIGHTING,NONE,DEgde3,CrossChop3,000,0,000,No,1,Evolution,""
281962071629651,068,Machamp,5,FIGHTING,NONE,DEgde3,CrossChop3,000,0,000,No,1,Evolution,""
281962071660627,069,Bellsprout,2,GRASS,POISON,PoPowder0,ViWhip2,000,2,070,No,1,"Wild ",""
281961909385555,070,Weepinbell,4,GRASS,POISON,RaLeaf3,Acid2,000,1,071,No,1,"Wild ",""
281962071619667,070,Weepinbell,4,GRASS,POISON,RaLeaf3,Acid2,000,1,071,No,1,Evolution,""
281961909385811,071,Victreebel,5,GRASS,POISON,PoJab3,LBlade3,000,0,000,No,1,"Wild ",""
281962071646291,071,Victreebel,5,GRASS,POISON,PoJab3,LBlade3,000,0,000,No,1,Evolution,""
281962071646547,071,Victreebel,5,GRASS,POISON,PoJab3,LBlade3,000,0,000,No,1,Evolution,""
281961909386067,072,Tentacool,1,WATER,POISON,Wrap1,Acid2,000,3,073,No,1,"Wild ",""
281961909386323,073,Tentacruel,4,WATER,POISON,PoJab3,BBeam3,000,0,000,No,1,"Wild ",""
281962071636051,073,Tentacruel,4,WATER,POISON,PoJab3,BBeam3,000,0,000,No,1,Evolution,""
281962071660371,074,Geodude,1,ROCK,GROUND,DCurl0,Tackle1,000,2,075,No,1,"Wild ",""
281961909400147,075,Graveler,3,ROCK,GROUND,RockBlast1,Sandstorm0,000,2,076,No,1,"Wild ",""
281962071637843,075,Graveler,3,ROCK,GROUND,RockBlast1,Sandstorm0,000,2,076,No,1,Evolution,""
281961909399891,076,Golem,5,ROCK,GROUND,SeDestruct4,Earthquake3,000,0,000,No,1,"Wild ",""
281962091868243,076,Golem,5,ROCK,GROUND,SeDestruct4,Earthquake3,000,0,000,No,1,Evolution,""
281962071623251,076,Golem,5,ROCK,GROUND,SeDestruct4,Earthquake3,000,0,000,No,1,Evolution,""
281962071660115,077,Ponyta,2,FIRE,NONE,FCharge2E,Stomp2,000,2,078,No,1,"Wild ",""
281961909402195,078,Rapidash,4,FIRE,NONE,SmartStrike2,FSpin4,000,0,000,No,1,"Wild ",""
281962071644499,078,Rapidash,4,FIRE,NONE,SmartStrike2,FSpin4,000,0,000,No,1,Evolution,""
281962071662931,079,Slowpoke,2,WATER,PSYCHIC,Confusion2,WaGun2,000,2,80/199,No,1,"Wild ",""
281961909139027,080,Slowbro,4,WATER,PSYCHIC,ZeHeadbutt3,Surf3,000,0,M080,Yes,1,"Wild ",""
281962071664467,080,Slowbro,4,WATER,PSYCHIC,ZeHeadbutt3,Surf3,000,0,M080,Yes,1,Evolution,""
M00015,M080,"Mega Slowbro",4,WATER,PSYCHIC,ZeHeadbutt3,Blizzard3,000,0,080,Yes,1,Mega,""
M00016,M080,"Mega Slowbro",4,WATER,PSYCHIC,ZeHeadbutt3,Blizzard3,000,0,080,Yes,1,Mega,""
0000095,199,Slowking,4,WATER,PSYCHIC,WaPulse3,Psychic3,000,0,000,No,2,"Wild ",""
0000095,199,Slowking,4,WATER,PSYCHIC,WaPulse3,Psychic3,000,0,000,No,2,Evolution,""
281961909138771,081,Magnemite,2,ELECTRIC,STEEL,ThShock2,SonicBoom2,000,2,082,No,1,"Wild ",""
281961909141075,082,Magneton,4,ELECTRIC,STEEL,MeSound0,ThBolt3,000,0,000,No,1,"Wild ",""
281962071629907,082,Magneton,4,ELECTRIC,STEEL,MeSound0,ThBolt3,000,0,000,No,1,Evolution,""
281961909140819,083,Farfetchd,3,NORMAL,FLYING,FuAttack1,Peck2,000,0,000,No,1,"Wild ",""
281961909140563,084,Doduo,2,NORMAL,FLYING,FuAttack1,Peck2,000,2,085,No,1,"Wild ",""
281961909402707,085,Dodrio,4,NORMAL,FLYING,DPeck3,Lunge2,000,0,000,No,1,"Wild ",""
281962071617619,085,Dodrio,4,NORMAL,FLYING,DPeck3,Lunge2,000,0,000,No,1,Evolution,""
281961909402451,086,Seel,2,WATER,NONE,Headbutt2,WaGun2,000,2,087,No,1,"Wild ",""
281961909401939,087,Dewgong,4,WATER,ICE,IBeam3,BBeam3,000,0,000,No,1,"Wild ",""
281962071650387,087,Dewgong,4,WATER,ICE,IBeam3,BBeam3,000,0,000,No,1,Evolution,""
281962071574867,088,Grimer,1,POISON,NONE,PoGas0,Pound1,000,3,089,No,1,"Wild ",""
281962071574611,089,Muk,4,POISON,NONE,SludgeWave3,Mimimize0,000,0,000,No,1,"Wild ",""
281962071633747,089,Muk,4,POISON,NONE,SludgeWave3,Mimimize0,000,0,000,No,1,Evolution,""
281962071578963,090,Shellder,2,WATER,NONE,Supersonic0,WaGun2,000,2,091,No,1,"Wild ",""
281962071662675,091,Cloyster,4,WATER,NONE,Icicle1,Whirlpool2,000,0,000,No,1,"Wild ",""
281962071641683,091,Cloyster,4,WATER,NONE,Icicle1,Whirlpool2,000,0,000,No,1,Evolution,""
281962071578707,092,Gastly,2,GHOST,POISON,CRay0,Hypnosis0,000,1,093,No,1,"Wild ",""
281962091869523,093,Haunter,3,GHOST,POISON,SuckerPunch2,Hex3,000,2,094,No,1,"Wild ",""
281962071607635,093,Haunter,3,GHOST,POISON,SuckerPunch2,Hex3,000,2,094,No,1,Evolution,""
281962071658835,094,Gengar,5,GHOST,POISON,DPulse2,NShade3,000,0,M094,Yes,1,"Wild ",""
281962071626067,094,Gengar,5,GHOST,POISON,DPulse2,NShade3,000,0,M094,Yes,1,Evolution,""
281962071625811,094,Gengar,5,GHOST,POISON,DPulse2,NShade3,000,0,M094,Yes,1,Evolution,""
M00017,M094,"Mega Gengar",6,GHOST,NONE,ShBall3,DEater0,000,0,094,Yes,1,Mega,""
M00018,M094,"Mega Gengar",6,GHOST,NONE,ShBall3,DEater0,000,0,094,Yes,1,Mega,""
281962071671123,095,Onix,3,ROCK,GROUND,RoThrow2,Bind1,000,2,208,No,1,"Wild ",""
0000113,208,Steelix,5,STEEL,GROUND,SaTomb2,IrTail3,000,0,M206,Yes,2,"Wild ",""
0000113,208,Steelix,5,STEEL,GROUND,SaTomb2,IrTail3,000,0,M206,Yes,2,Evolution,""
0000114,M206,"Mega Steelix",5,STEEL,NONE,Earthquake3,RoSlide2,000,0,206,Yes,2,Mega,""
0000114,M206,"Mega Steelix",5,STEEL,NONE,Earthquake3,RoSlide2,000,0,206,Yes,2,Mega,""
281962071570259,096,Drowzee,2,PSYCHIC,NONE,Headbutt2,Hypnosis0,000,2,097,No,1,"Wild ",""
281962071668307,097,Hypno,4,PSYCHIC,NONE,NastyPlot0,Psychic3,000,0,000,No,1,"Wild ",""
281962071615571,097,Hypno,4,PSYCHIC,NONE,NastyPlot0,Psychic3,000,0,000,No,1,Evolution,""
281961909140307,098,Krabby,2,WATER,NONE,MeClaw2,WaGun2,000,2,099,No,1,"Wild ",""
281961909143123,099,Kingler,4,WATER,NONE,CHammer3,Stomp2,000,0,000,No,1,"Wild ",""
281962071635795,099,Kingler,4,WATER,NONE,CHammer3,Stomp2,000,0,000,No,1,Evolution,""
281961909142867,100,Voltorb,2,ELECTRIC,NONE,Charge0,Rollout1,000,2,101,No,1,"Wild ",""
281962071576147,101,Electrode,4,ELECTRIC,NONE,SeDestruct4,Discharge3,000,0,000,No,1,"Wild ",""
281962071611731,101,Electrode,4,ELECTRIC,NONE,SeDestruct4,Discharge3,000,0,000,No,1,Evolution,""
281962071668563,102,Exeggcute,2,GRASS,PSYCHIC,Hypnosis0,Absorb2,000,3,103,No,1,"Wild ",""
281962071576403,103,Exeggutor,5,GRASS,PSYCHIC,GigaDrain3,Psyshock3,000,0,000,No,1,"Wild ",""
281962071650643,103,Exeggutor,5,GRASS,PSYCHIC,GigaDrain3,Psyshock3,000,0,000,No,1,Evolution,""
281962071669075,104,Cubone,2,GROUND,NONE,MSlap2,Leer0,000,2,105,No,1,"Wild ",""
281962071576659,105,Marowak,4,GROUND,NONE,Bonemerang2E,Headbutt2,000,0,000,No,1,"Wild ",""
281962071642451,105,Marowak,4,GROUND,NONE,Bonemerang2E,Headbutt2,000,0,000,No,1,Evolution,""
0000125,236,Tyrogue,1,FIGHTING,NONE,FakeOut1,Tackle1,000,3,106/107/237,No,2,"Wild ",""
281962071570771,106,Hitmonlee,4,FIGHTING,NONE,BrickBreak3,BlazeKick2,000,0,000,No,1,"Wild ",""
0000126,106,Hitmonlee,4,FIGHTING,NONE,BrickBreak3,BlazeKick2,000,0,000,No,1,Evolution,""
281962071567955,107,Hitmonchan,4,FIGHTING,NONE,DrainPunch3,IPunch3,000,0,000,No,1,"Wild ",""
0000127,107,Hitmonchan,4,FIGHTING,NONE,DrainPunch3,IPunch3,000,0,000,No,1,Evolution,""
0000128,237,Hitmontop,4,FIGHTING,NONE,TrKick1,Dig2,000,0,000,No,2,"Wild ",""
0000128,237,Hitmontop,4,FIGHTING,NONE,TrKick1,Dig2,000,0,000,No,2,Evolution,""
281962071570515,108,Lickitung,2,NORMAL,NONE,KnockOff2,Wrap1,000,0,000,No,1,"Wild ",""
281962071670867,109,Koffing,2,POISON,NONE,Smokescreen0,Smog2,000,2,110,No,1,"Wild ",""
281962071670611,110,Weezing,4,POISON,NONE,SlBomb3,Explosion5,000,0,000,No,1,"Wild ",""
281962091868499,110,Weezing,4,POISON,NONE,SlBomb3,Explosion5,000,0,000,No,1,Evolution,""
281962071670355,111,Rhyhorn,2,GROUND,ROCK,RockBlast1,HAttack2,000,2,112,No,1,"Wild ",""
281962071568211,112,Rhydon,4,GROUND,ROCK,HArm2,DrillRun3,000,0,000,No,1,"Wild ",""
281962071639635,112,Rhydon,4,GROUND,ROCK,HArm2,DrillRun3,000,0,000,No,1,Evolution,""
0000137,113,Chansey,3,NORMAL,NONE,TaDown3,SoftBoiled0,000,2,242,No,1,"Wild ",""
281962071570003,242,Blissey,5,NORMAL,NONE,DEdge4,HealPulse0,000,0,000,No,2,"Wild ",""
0000138,242,Blissey,5,NORMAL,NONE,DEdge4,HealPulse0,000,0,000,No,2,Evolution,""
